Rad;R (kOhm);Tc;Tk;Tk^4;Tk^4 - Tamb^4
8.6;12.35;;;;
6.0;14.9;;;;
4.1;30.61;;;;
2.9;42.2;;;;
11.2;8.37;;;;
14.3;5.27;;;;
18.6;3.432;;;;
1.4;61.0;;;;
